,Age,Attrition,DistanceFromHome,Education,EnvironmentSatisfaction,JobInvolvement,JobLevel,JobSatisfaction,MonthlyIncome,NumCompaniesWorked,OverTime,PercentSalaryHike,PerformanceRating,StockOptionLevel,TotalWorkingYears,TrainingTimesLastYear,WorkLifeBalance,YearsAtCompany,YearsInCurrentRole,YearsSinceLastPromotion,YearsWithCurrManager
108,25,0,7,1,4,2,1,4,2889,1,0,11,3,2,2,2,3,2,2,2,1
109,22,0,15,3,2,3,1,4,2871,1,0,15,3,0,1,5,3,0,0,0,0
110,51,0,1,4,1,2,3,1,7484,3,0,20,4,0,23,1,2,13,12,12,8
112,54,0,26,3,4,4,4,4,17328,2,1,12,3,0,23,3,3,5,3,4,4
113,24,0,18,1,2,3,1,3,2774,0,0,12,3,1,6,2,3,5,3,1,2
114,34,0,6,4,3,2,2,2,4505,6,0,15,3,1,12,3,3,1,0,0,0
115,37,0,3,3,3,3,3,4,7428,2,0,12,3,0,12,3,3,5,3,1,3
116,34,0,5,3,3,2,3,1,11631,2,0,12,3,0,14,6,3,11,10,5,8
117,36,0,11,2,2,3,3,4,9738,0,0,14,3,1,10,6,3,9,7,2,8
118,36,0,3,2,1,3,1,4,2835,5,0,22,4,1,7,2,3,1,0,0,0
119,43,0,26,2,3,3,4,4,16959,1,1,12,3,2,25,3,4,25,12,4,12
120,30,0,23,3,1,1,1,3,2613,1,0,25,4,3,10,2,2,10,7,0,9
121,33,0,22,2,3,3,2,2,6146,0,0,13,3,1,8,2,4,7,7,0,7
123,51,0,6,3,1,3,5,3,19537,7,0,13,3,0,23,5,3,20,18,15,15
125,26,0,6,3,3,2,1,2,2368,1,0,19,3,0,5,3,2,5,4,4,3
128,22,0,2,1,3,3,1,4,2523,0,0,14,3,1,3,2,3,2,1,2,1
129,49,0,20,4,3,3,2,1,6567,1,0,14,3,0,16,2,2,15,11,5,11
130,43,0,28,3,2,4,1,3,4739,4,0,12,3,0,18,2,3,3,2,1,2
131,50,0,12,3,3,3,3,4,9208,4,0,11,3,0,16,3,3,2,2,2,1
133,41,0,9,1,3,3,3,3,8189,3,1,13,3,1,12,2,3,9,7,0,7
134,26,0,25,1,3,3,1,3,2942,1,0,23,4,1,8,3,3,8,7,5,7
135,36,0,6,2,2,3,2,2,4941,6,0,20,4,2,7,0,3,3,2,0,1
137,39,0,4,4,4,2,2,3,5902,4,0,14,3,1,17,1,4,15,11,5,9
138,25,0,28,3,1,2,2,3,8639,2,0,18,3,0,6,3,3,2,2,2,2
139,30,0,9,3,3,3,2,4,6347,0,1,19,3,0,12,2,1,11,9,4,7
141,45,0,29,3,3,3,1,4,3452,5,0,13,3,0,9,2,2,6,5,0,3
142,38,0,3,5,4,3,2,3,4317,3,1,20,4,0,19,2,3,3,2,2,2
143,30,0,18,3,1,3,1,3,2632,1,0,14,3,0,5,4,2,5,4,0,4
144,32,0,9,2,4,1,2,4,4668,0,0,17,3,3,9,2,4,8,7,0,7
145,30,0,5,3,4,3,1,1,3204,5,0,14,3,1,8,3,3,3,2,2,2
146,30,0,2,1,2,2,1,4,2720,0,0,13,3,0,6,3,3,5,3,1,2
147,41,0,10,3,4,2,4,1,17181,4,0,13,3,1,21,2,2,7,6,7,7
148,41,0,9,4,3,3,1,1,2238,2,0,21,4,1,7,2,3,5,0,1,4
149,19,0,3,1,2,3,1,2,1483,1,0,14,3,0,1,3,3,1,0,0,0
150,40,0,26,3,2,3,2,2,5605,1,0,11,3,1,20,2,3,20,7,2,13
151,35,0,1,5,3,3,3,2,7295,1,0,13,3,2,10,3,3,10,8,0,6
152,53,0,6,2,2,3,2,3,2306,2,1,20,4,1,13,3,1,7,7,4,5
153,45,0,9,3,2,3,2,2,2348,8,0,18,3,1,20,2,1,17,9,0,15
154,32,0,8,3,2,3,3,4,8998,1,0,14,3,0,9,2,3,9,8,3,7
155,29,0,1,1,4,3,2,3,4319,1,0,13,3,1,10,1,3,10,7,0,9
156,51,0,7,4,2,2,2,3,6132,2,0,17,3,0,10,2,3,1,0,0,0
157,58,0,9,3,2,2,1,2,3346,4,1,20,4,1,9,3,2,1,0,0,0
158,40,0,4,4,3,2,3,4,10855,7,0,11,3,1,15,2,2,12,11,2,11
159,34,0,2,4,3,3,1,3,2231,6,0,18,3,1,6,3,3,4,3,1,2
160,22,0,19,1,3,3,1,4,2323,1,0,24,4,2,2,6,3,2,2,2,2
161,27,0,9,3,4,3,1,2,2024,6,0,18,3,1,6,1,1,2,2,2,2
162,28,0,21,3,3,3,1,4,2713,1,0,11,3,1,5,2,1,5,2,0,2
163,57,0,24,2,3,4,3,4,9439,3,1,16,3,1,12,2,1,5,3,1,4
164,27,0,3,3,3,2,1,3,2566,1,1,15,3,1,1,2,2,1,1,0,1
165,50,0,11,3,3,3,5,2,19926,3,0,15,3,0,21,5,3,5,4,4,4
166,41,0,14,3,1,3,1,3,2451,4,0,12,3,1,13,2,3,9,8,1,8
167,30,0,5,3,2,3,3,4,9419,2,0,12,3,1,12,2,3,10,9,7,4
168,38,0,1,4,1,2,2,4,8686,4,0,22,4,0,12,2,4,8,3,0,7
169,32,0,6,5,3,3,1,3,3038,3,0,20,4,0,8,2,3,5,4,1,4
170,27,0,17,3,3,3,1,2,3058,0,1,16,3,1,6,3,2,5,2,1,1
172,36,0,3,2,4,3,1,2,2088,4,0,12,3,0,13,3,2,8,7,7,2
173,30,0,9,3,3,3,2,1,3072,1,0,11,3,2,12,4,3,12,9,6,10
174,45,0,4,2,3,3,2,1,5006,4,1,11,3,1,9,3,4,5,4,0,3
175,56,0,8,3,3,3,1,1,4257,4,1,18,3,1,19,3,3,2,2,2,2
176,33,0,2,3,3,3,1,4,2500,0,0,14,3,0,4,2,4,3,1,0,2
178,46,0,1,2,2,3,3,1,10453,1,0,25,4,3,24,2,3,24,13,15,7
179,38,0,9,2,3,3,1,4,2288,1,0,12,3,0,2,3,3,2,2,2,1
180,31,0,12,1,3,3,1,4,3929,8,1,23,4,1,7,0,3,4,2,0,2
181,34,0,27,2,4,3,1,2,2311,2,0,15,3,0,9,3,3,3,2,1,2
183,50,0,1,3,3,2,1,3,3690,2,0,15,3,1,5,2,2,3,2,0,2
184,53,0,13,2,4,4,2,1,4450,1,0,11,3,2,5,3,3,4,2,1,3
185,33,0,14,3,4,3,1,2,2756,1,0,13,3,1,8,5,3,8,7,1,6
186,40,0,4,1,4,3,5,3,19033,1,0,14,3,1,21,2,3,20,8,9,9
187,55,0,14,4,3,4,5,2,18722,8,0,11,3,0,36,3,3,24,15,2,15
188,34,0,2,1,4,2,2,3,9547,1,0,17,3,0,10,2,2,10,9,1,9
189,51,0,3,3,4,3,4,2,13734,3,0,18,3,0,21,6,3,7,7,1,0
190,52,0,1,4,3,2,5,3,19999,0,0,14,3,1,34,5,3,33,18,11,9
191,27,0,9,3,4,3,1,2,2279,1,0,16,3,0,7,2,2,7,7,0,3
193,43,0,7,3,4,4,1,4,2089,4,0,14,3,3,7,3,4,5,4,2,2
194,45,0,2,2,1,2,4,4,16792,9,0,23,4,1,22,1,3,20,8,11,8
195,37,0,21,3,2,4,1,1,3564,1,1,12,3,1,8,3,2,8,7,1,7
196,35,0,2,3,2,3,2,2,4425,5,0,11,3,0,10,5,3,6,2,1,2
197,42,0,21,2,3,3,2,3,5265,2,0,16,3,1,11,5,3,5,3,0,2
198,38,0,2,4,4,3,2,3,6553,9,0,14,3,0,14,3,3,1,0,0,0
199,38,0,29,3,4,3,2,4,6261,3,0,18,3,1,9,3,1,7,7,1,7
200,27,0,1,1,3,2,2,1,4298,5,0,19,3,1,6,1,3,2,2,2,0
201,49,0,18,4,4,3,2,4,6804,1,1,15,3,2,7,0,3,7,7,1,7
202,34,0,10,4,4,3,1,3,3815,1,1,17,3,1,5,4,4,5,3,2,0
203,40,0,19,2,3,3,2,4,2741,8,1,15,3,1,15,2,4,7,2,3,7
206,22,0,5,3,4,4,1,2,2328,1,1,16,3,1,4,2,2,4,2,2,2
207,36,0,18,1,2,3,1,4,2153,1,0,13,3,0,8,2,3,8,1,1,7
208,40,0,9,5,4,2,2,4,4876,9,0,14,3,1,5,5,1,3,2,0,2
209,46,0,1,4,4,3,3,1,9396,7,0,16,3,1,17,3,3,4,2,0,3
211,30,0,1,1,3,2,3,3,8474,1,0,22,4,0,12,2,3,11,8,5,8
212,27,0,20,3,4,3,2,3,9981,1,0,14,3,0,7,2,3,7,7,0,7
213,51,0,8,4,2,2,3,2,12490,5,0,16,3,2,16,5,1,10,9,4,7
215,41,0,6,3,4,3,3,4,13591,3,1,18,3,0,16,3,3,1,0,0,0
218,45,0,6,3,4,2,3,4,8865,6,0,12,3,0,23,2,3,19,7,12,8
219,54,0,3,3,4,3,2,1,5940,2,0,14,3,1,16,4,3,6,2,0,5
220,36,0,5,2,4,3,2,2,5914,8,0,16,3,0,16,3,4,13,11,3,7
221,33,0,4,4,3,2,1,2,2622,6,0,21,4,0,7,3,3,3,2,1,1
222,37,0,11,3,2,3,3,4,12185,1,1,14,3,3,10,1,3,10,8,0,7
223,38,0,3,3,1,3,3,3,10609,0,0,12,3,2,17,6,2,16,10,5,13
224,31,0,1,4,3,1,2,3,4345,0,0,12,3,1,6,2,3,5,4,1,4
225,59,0,3,3,3,2,1,4,2177,3,0,17,3,1,7,6,3,1,0,0,0
226,37,0,4,4,1,3,1,4,2793,4,0,17,3,1,13,2,3,9,8,5,8
227,29,0,1,1,2,3,3,4,7918,1,0,14,3,1,11,5,3,11,10,4,1
228,35,0,1,3,3,3,3,3,8789,1,0,14,3,0,10,3,4,10,7,0,8
230,52,0,2,3,3,2,1,4,3212,7,0,15,3,0,6,3,2,2,2,2,2
231,42,0,4,2,3,3,5,4,19232,1,0,11,3,0,22,3,3,22,17,11,15
232,59,0,6,2,2,3,1,3,2267,8,0,17,3,0,7,2,2,2,2,2,2
233,50,0,1,4,4,3,5,4,19517,3,0,11,3,1,32,3,2,7,0,0,6
235,43,0,16,3,4,3,4,4,16064,5,1,22,4,1,22,3,3,17,13,1,9
237,52,0,2,4,1,2,5,3,19068,1,1,18,3,0,33,2,4,33,7,15,12
238,32,0,4,2,3,3,1,2,3931,2,0,11,3,1,6,5,3,4,3,1,2
240,39,0,1,4,3,3,1,3,2232,7,0,14,3,3,7,1,3,3,2,1,2
241,32,0,26,4,3,3,2,4,4465,0,0,18,3,0,4,2,3,3,2,2,2
242,41,0,19,2,3,3,2,1,3072,2,0,16,3,2,17,2,2,1,0,0,0
243,40,0,24,2,1,3,2,4,3319,1,0,17,3,2,9,3,3,9,8,4,7
244,45,0,1,3,3,4,5,4,19202,0,0,11,3,1,25,2,3,24,0,1,7
245,31,0,3,4,2,3,3,3,13675,9,0,12,3,1,9,3,3,2,2,2,2
246,33,0,5,4,3,2,1,4,2911,1,0,13,3,1,2,2,2,2,2,0,2
247,34,0,2,4,4,2,2,1,5957,6,0,13,3,1,13,3,3,11,9,5,9
248,37,0,1,2,3,2,1,1,3920,2,0,14,3,1,17,2,2,3,1,0,2
249,45,0,7,4,1,4,2,3,6434,4,0,17,3,1,9,1,3,3,2,0,2
251,39,0,2,4,3,3,3,3,10938,0,0,25,4,0,20,1,3,19,6,11,8
252,29,0,15,3,3,3,1,4,2340,1,0,19,3,0,6,1,3,6,5,1,5
253,42,0,17,2,4,4,2,1,6545,3,1,13,3,0,10,1,3,3,2,0,2
254,29,0,20,2,4,3,2,4,6931,2,0,14,3,1,10,2,3,3,2,0,2
255,25,0,1,3,1,3,2,3,4898,0,0,12,3,2,5,3,3,4,2,1,2
256,42,0,2,3,4,2,1,1,2593,0,1,11,3,1,10,4,3,9,6,7,8
257,40,0,2,2,1,3,5,3,19436,0,0,19,3,1,22,5,3,21,7,3,9
258,51,0,1,3,3,3,1,4,2723,1,0,11,3,0,1,0,2,1,0,0,0
260,32,0,7,3,2,4,1,2,2794,1,0,20,4,0,5,3,1,5,1,0,3
261,38,0,2,2,4,2,2,4,5249,3,0,18,3,1,13,0,3,8,7,7,5
262,32,0,2,1,4,2,2,1,2176,4,0,13,3,0,9,5,3,6,2,0,4
263,46,0,2,3,3,1,4,2,16872,3,1,12,3,1,28,2,2,7,7,7,7
265,29,0,2,3,1,2,2,2,6644,2,0,19,3,2,10,2,3,0,0,0,0
266,31,0,23,3,2,2,2,4,5582,0,0,21,4,1,10,2,3,9,0,7,8
267,25,0,5,2,2,4,2,1,4000,1,0,12,3,2,6,2,3,6,3,1,5
268,45,0,20,2,3,3,4,4,13496,0,1,14,3,0,21,2,3,20,7,4,10
269,36,0,6,3,4,3,1,4,3210,0,0,11,3,1,16,4,3,15,13,10,11
270,55,0,1,3,4,3,5,1,19045,0,1,14,3,0,37,2,3,36,10,4,13
272,28,0,9,3,4,3,1,4,2070,1,0,23,4,1,5,3,2,5,2,0,4
273,37,0,6,4,3,3,2,4,6502,4,0,14,3,1,7,5,4,5,4,0,1
274,21,0,3,2,4,2,1,3,3230,1,0,17,3,0,3,4,4,3,2,1,0
275,37,0,1,4,1,3,3,4,13603,2,1,18,3,2,15,2,3,5,2,0,2
276,35,0,22,3,2,4,3,2,11996,7,0,18,3,1,10,6,2,7,7,6,2
277,38,0,7,2,1,4,2,1,5605,1,1,24,4,1,8,3,3,8,0,7,7
278,26,0,1,3,3,3,2,2,6397,1,0,20,4,1,6,6,1,6,5,1,4
279,50,0,4,1,1,3,5,2,19144,3,0,14,3,2,28,4,2,10,4,1,6
280,53,0,3,4,3,3,4,3,17584,3,1,16,3,3,21,5,2,5,3,1,3
281,42,0,1,1,2,3,2,3,4907,1,0,25,4,0,20,3,3,20,16,11,6
282,29,0,2,2,2,3,2,4,4554,1,0,18,3,0,10,3,2,10,7,0,9
283,55,0,20,2,2,3,2,4,5415,3,1,19,3,1,12,4,3,10,7,0,8
284,26,0,11,2,1,3,2,1,4741,1,1,13,3,1,5,3,3,5,3,3,3
285,37,0,1,3,4,3,1,4,2115,1,0,12,3,0,17,3,3,17,12,5,7
287,38,0,23,4,4,3,2,4,5745,9,0,14,3,1,10,2,3,2,2,1,2
289,28,0,8,2,4,3,1,4,3310,1,0,21,4,0,5,3,3,5,3,0,2
290,49,0,10,4,3,3,5,1,18665,9,1,11,3,0,22,4,3,3,2,1,2
291,36,0,3,3,3,3,2,2,4485,4,0,12,3,0,10,2,3,8,0,7,7
292,31,0,5,3,4,3,1,2,2789,1,0,11,3,1,2,5,2,2,2,2,2
294,37,0,9,3,2,3,1,4,2326,1,1,12,3,3,4,3,2,4,2,1,2
295,42,0,26,3,3,3,4,2,13525,5,0,14,3,1,23,2,4,20,4,4,8
297,35,0,16,3,3,3,3,2,8020,0,0,15,3,2,12,3,2,11,9,6,9
298,36,0,18,4,3,4,1,4,3688,4,0,18,3,2,4,2,3,1,0,0,0
299,51,0,2,3,4,1,2,2,5482,5,0,18,3,1,13,3,3,4,1,1,2
300,41,0,2,4,4,3,4,2,16015,1,0,19,3,0,22,2,3,22,10,0,4
301,18,0,10,3,4,2,1,3,1200,1,0,12,3,0,0,2,3,0,0,0,0
302,28,0,16,2,2,4,2,1,5661,0,0,19,3,0,9,2,3,8,3,0,7
303,31,0,7,3,2,4,2,4,6929,4,0,11,3,1,10,3,2,8,7,7,7
304,39,0,1,3,3,4,3,4,9613,0,0,17,3,3,19,5,2,18,10,3,7
305,36,0,24,4,2,3,2,2,5674,7,0,15,3,1,11,3,3,9,8,0,8
306,32,0,7,3,4,2,2,3,5484,1,0,14,3,1,13,3,2,13,8,4,8
307,38,0,25,2,1,2,3,2,12061,3,0,17,3,1,19,2,3,10,8,0,1
308,58,0,1,4,4,1,2,3,5660,2,1,13,3,1,12,2,3,5,3,1,2
309,31,0,5,4,3,3,1,4,4821,0,1,12,3,1,6,4,3,5,2,0,3
310,31,0,2,3,1,2,2,1,6410,3,0,12,3,0,9,1,3,2,2,1,0
311,45,0,7,3,1,3,3,1,5210,1,0,18,3,1,24,2,3,24,9,9,11
312,31,0,2,4,3,3,1,4,2695,0,1,18,3,1,3,2,1,2,2,2,2
313,33,0,5,4,4,3,3,2,11878,6,0,11,3,2,12,2,3,10,6,8,8
314,39,0,10,1,3,3,4,1,17068,1,1,14,3,0,21,3,3,21,9,11,10
315,43,0,10,4,3,3,1,4,2455,0,0,19,3,0,9,5,3,8,7,1,7
316,49,0,1,2,3,2,4,3,13964,7,1,12,3,0,25,2,3,7,1,0,7
318,27,0,5,3,3,3,1,2,2478,1,1,12,3,0,4,2,2,4,3,1,2
319,32,0,8,2,3,2,2,2,5228,1,1,11,3,0,13,2,3,13,12,11,9
320,27,0,2,3,4,3,2,3,4478,1,1,11,3,0,5,3,3,5,4,0,4
321,31,0,7,3,4,3,2,4,7547,4,0,12,3,3,13,3,3,7,7,1,7
322,32,0,2,4,1,4,2,4,5055,7,0,16,3,0,10,0,2,7,7,0,7
324,30,0,28,2,4,3,2,4,5775,1,0,13,3,2,11,2,3,10,8,1,9
325,31,0,7,2,3,2,3,3,8943,1,0,24,4,1,10,2,3,10,9,8,9
326,39,0,7,2,3,2,5,4,19272,1,0,15,3,1,21,2,3,21,9,13,3
328,33,0,10,3,2,2,2,4,4682,3,0,14,3,0,9,6,2,7,7,0,1
329,47,0,5,5,4,3,5,3,18300,4,0,11,3,1,21,2,3,3,2,1,1
330,43,0,10,4,3,2,2,3,5257,1,0,11,3,1,9,3,4,9,7,0,0
331,27,0,1,1,3,3,2,2,6349,0,1,13,3,1,6,0,3,5,4,1,4
332,54,0,20,4,4,3,2,3,4869,3,0,12,3,0,20,4,2,4,3,0,3
333,43,0,7,3,3,3,3,1,9985,8,0,16,3,1,10,1,2,1,0,0,0
334,45,0,8,4,4,3,2,4,3697,9,0,14,3,2,12,3,3,10,9,9,8
335,40,0,1,2,2,1,2,4,7457,2,1,22,4,3,6,2,2,4,3,0,2
337,29,0,9,5,2,2,1,4,3983,0,0,17,3,0,4,2,3,3,2,2,2
338,30,0,5,3,4,2,2,3,6118,1,0,13,3,3,10,2,3,10,9,1,2
339,27,0,8,4,2,3,2,2,6214,1,0,18,3,1,8,3,3,8,7,0,7
340,37,0,5,2,4,3,2,4,6347,7,0,16,3,2,8,2,2,6,2,0,4
341,38,0,15,2,3,2,3,4,11510,0,1,14,3,1,12,3,3,11,10,2,9
342,31,0,7,4,3,3,3,4,7143,1,1,14,3,0,11,2,2,11,9,4,10
343,29,0,10,1,4,2,2,2,8268,1,1,14,3,2,7,2,3,7,7,1,7
344,35,0,5,4,3,3,3,2,8095,0,0,13,3,0,17,5,3,16,6,0,13
345,23,0,26,1,3,3,1,4,2904,1,0,12,3,2,4,2,2,4,2,0,2
346,41,0,6,3,4,2,2,2,6032,6,1,15,3,0,8,3,3,5,4,1,2
347,47,0,4,1,2,3,2,3,2976,3,0,19,3,0,5,3,3,0,0,0,0
348,42,0,23,5,1,3,4,4,15992,2,0,14,3,0,16,2,3,1,0,0,0
349,29,0,2,3,4,3,2,3,4649,1,0,14,3,1,4,3,2,4,3,0,2
350,42,0,2,1,3,3,1,3,2696,0,1,11,3,1,4,5,3,3,2,1,0
351,32,0,2,3,3,3,1,2,2370,1,0,13,3,1,8,4,3,8,0,0,7
352,48,0,29,1,1,3,3,3,12504,3,0,21,4,1,15,3,1,0,0,0,0
353,37,0,6,3,3,4,2,1,5974,4,1,13,3,2,13,2,3,7,7,6,7
